course_title,course_url,course_description,course_curriculum,course_level,course_rating,lesson_count,price,reviews,course_duration,instructor_name,who_should_enroll
Improving Real World RAG Systems: Key Challenges & Practical Solutions,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Improving Real World RAG System, Introduction to RAG Systems, Resources, RAG System Challenges Practical Solutions, Hands-on: Solution for Missing Content in RAG, Other Key Challenges, Practical Solutions, Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed, Wrong Format Problem  Solution, Hands-on: Solution for Wrong Format, Incomplete Problem Solution, HyDE, Other Practical Solutions from recent Research Papers",Beginner,4.8,12,Free,12,60,"Dipanjan Sarkar - Head of Community and Principal AI Scientist, Analytics Vidhya","AI/ML professionals aiming to enhance RAG system performance and solve real-world challenges., Developers/Engineers building search, conversational, or generative AI systems needing better data retrieval and context handling., Researchers/Enthusiasts seeking hands-on experience with advanced RAG techniques and agentic systems."
Framework to Choose the Right LLM for your Business,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","Introduction, Introduction, It's an LLM World!, It's an LLM World!, Understand Your Business, Understand Your Business, Framework to Choose the Right LLM, Framework to Choose the Right LLM, Case Studies, Case Studies, Conclusion, Conclusion",Beginner,4.7,6,Free,4,60,"Rohan Rao - Principal Data Scientist, H2O.ai; Quadruple Kaggle Grandmaster","Business leaders seeking to implement AI-driven solutions efficiently., Data scientists exploring LLMs for industry-specific applications., Tech professionals involved in AI integration and decision-making processes."
Building Smarter LLMs with Mamba and State Space Model,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","Course Overview, Course Overview, An Alternative to Transformers, Are RNNs a Solution, The Problem with Transformers, Understanding State Space Models, What is a State Space Model?, The Discrete Representation, The Recurrent Representation, The Convolution Representation, The Three Representations, The Importance of the A Matrix, Mamba - A Selective State Space Model, What Problem does it attempt to Solve?, Selectively Retaining Information, Speeding Up Computations, Exploring the Mamba Block, Jamba - Mixing Mamba with Transformers",Advanced,N/A,14,Free,No reviews,27,"Maarten Grootendorst - Senior Clinical Data Scientist, IKNL; Creator of KeyBERT and BERTopic","AI and ML professionals looking to specialize in State Space Models and Mamba architecture., Data scientists interested in exploring advanced Generative AI models and architectures., NLP practitioners who want to integrate SSMs like Mamba in their workflows and use cases."
Generative AI - A Way of Life - Free Course,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","Introduction to Generative AI, Fundamentals of Generative AI, What is Generative AI?, How does Generative AI work?, Exploring the Potential of Generative AI, GenAI Pinnacle Program, Hands On: Let’s get generating!, Text Generation Using Generative AI, An Overview of Text Generation, What is ChatGPT?, Working with ChatGPT, Working with ChatGPT Plus, Build a Custom GPT, Working with Microsoft Copilot, Working with Google Gemini, Gen AI Pinnacle Ad, Learning the Art of Prompting, Creating a Chatbot, Ethics and Best Practices, Image Generation Using Generative AI, Introduction to Image Generation, Exploring the Potential of Image Generation, Working with free image generation tools, Working with Clipdrop, Working with Bing Image Creator, Working with Firefly, Working with Paid Image Generative Tools, Working with paid image generative tools DreamStudio, Working with DALLE-2, Working with Midjourney, Gen AI Pinnacle Ad, Prompting your Way to Art, Accomplishing Tasks with Image Generation, E for Ethics and Efficiency",Beginner,4.7,31,Free,22,360,"Apoorv Vishnoi, Head - Training Vertical, Analytics Vidhya","Great course for beginnersHimanshi SinghRead Less, Great CourseAshok Nair--Read Less"
Building LLM Applications using Prompt Engineering - Free Course,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,"This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.Who Should Enroll:Professionals:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.Aspiring Students:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.","How to build diffferent LLM AppIications?, Introduction to Building Different LLM applications, Prompt Engineering, Retrieval Augmented Generation, Finetuning LLMs, Training LLMs from Scratch, Quiz, Getting Started with Prompt Engineering, Course handouts, Introduction to Prompt Engineering, Set up your machine for Prompt Engineering, Prompt Engineering with ChatGPT API, Enabling Conversation with ChatGPT API, Quiz, Understanding Different Prompt Engineering Techniques, Introduction to Understanding Different Prompt Engineering Techniques, Few Shot Prompting, One Shot Prompting, Zero Shot Prompting, Quiz, Assignment",Beginner,4.6,18,Free,11,35,"Kunal Jain, Founder & CEO, Analytics Vidhya","Professionals:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains., Aspiring Students:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains."
Building Your First Computer Vision Model - Free Course,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,"This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.Who Should Enroll:Professionals: Individuals looking to expand their skill set and leverage CV across different industries.Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world.","Introduction to Computer Vision, Pixel Perfect - Decoding Images, Understanding a CNN - Convolutional Layer, Hands on - Image Processing Techniques, Understanding a CNN - Striding and Pooling, Understanding a CNN - Pooling Layer, Understanding AlexNet and Building a CNN Model, Quiz",Beginner,4.6,7,Free,2,34,"Apoorv Vishnoi, Head - Training Vertical, Analytics Vidhya","Professionals: Individuals looking to expand their skill set and leverage CV across different industries., Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world."
Bagging and Boosting ML Algorithms - Free Course,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.Who Should Enroll:Professionals:Individuals looking to deepen their knowledge and apply advanced machine learning techniques like Bagging and Boosting to solve complex problems across various domainsAspiring Students:Individuals looking to deepen their knowledge and apply advanced ML techniques to bring value to businesses","Bagging, Resources to be used in this course, Problem Statement, Understanding Ensemble Learning, Introducing Bagging Algorithms, Hands-on to Bagging Meta Estimator, Introduction to Random Forest, Understanding Out-Of-Bag Score, Random Forest VS Classical Bagging VS Decision Tree, Project, Boosting, Introduction to Boosting, AdaBoost Step-by-Step Explanation, Hands-on - AdaBoost, Gradient Boosting Machines (GBM), Hands-on Gradient Boost, Other Algo (XGBoost, LightBoost. CatBoost), Project: Anova Insurance",Advanced,N/A,16,Free,No reviews,31,N/A,N/A
MidJourney: From Inspiration to Implementation - Free Course,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.Who Should Enroll:Creative Professionals:Individuals looking to enhance their creativity and apply MidJourney tools to various artistic and visual projects.Aspiring Creatives:Those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of MidJourney and its alternatives.","MidJourney, MidJourney - Storm _ Story, MidJourney - Inspiration, MidJourney - How to use, MidJourney  Alternatives, Quiz",Intermediate,4.6,5,Free,2,33,"Sandeep Singh, Expert Senior Director, Bain & Company",N/A
Understanding Linear Regression - Free Course,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression.","Linear Regression, Introduction to the Problem Statement, Resources for this Course, Introduction to Linear Regression, Significance of Slope and Intercept in the linear regression, How Model Decides The Best-Fit Line, Let’s Build a Simple Linear Regression Model, Model Understanding Using Descriptive Approach, Model Understanding Using Descriptive Approach - II, Model Building Using Predictive Approach, Quiz: Linear regression",N/A,N/A,10,Free,4,19,N/A,"Professionals:Individuals looking to expand their skill set and apply machine learning across different industries., Aspiring Students:For those setting out on their journey to mastering machine learning and making a mark in the tech world."
The Working of Neural Networks - Free Course,https://courses.analyticsvidhya.com/courses/the-working-of-neural-networks,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.","Understanding the working of Neural Networks, How are Neural Networks trained - Forward Propagation, Understanding Loss Functions + Hands on, Reading: Creating a Custom Loss Function (Optional), Optimization Techniques - Gradient Descent, What is Back Propagation?, Types of Gradient Descent, Common Optimization Techniques - Part 1, Common Optimization Techniques - Part 2, Building a Deep Neural Network (Hands-on Regression Model), Building a Deep Neural Network (Hands-on Classification Model), Quiz",Beginner,N/A,11,Free,No reviews,21,N/A,"Professionals:Individuals looking to expand their skill set and apply deep learning across different industries., Aspiring Students:For those setting out on their journey to mastering deep learning and making a mark in the tech world."
The A to Z of Unsupervised ML - Free Course,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.","Understanding Unsupervised Machine Learning, Resources to be used in this course., Setting the Context, Choosing Clustering Algorithms, Solving our Problem using k-means - Part 1, Solving our Problem using k-means - Part 2, Finding optimal K value, Analysis and Insights Based on the Plots, Introduction to Hierarchical Clustering Analysis (HCA), Solving our Problem using Hierarchical Clustering, Introduction to DBSCAN Clustering, Solving our Problem using DBSCAN, Reading: Applications of Clustering in the Real World, Project",Intermediate,4.6,13,Free,No reviews,52,N/A,"Professionals:Individuals looking to expand their skill set and apply unsupervised learning across different industries., Aspiring Students:For those setting out on their journey to mastering machine learning and making a mark in the tech world."
